scanner_id,approval_status,created_on,description,facility_id,last_modified_on,name,user_id
91,0,1492126872,,71,1492126872,Vtomexs system GE Phoenix scanner,3284
92,0,1495462474,Mounted FARO ScanArm Platinum V2 with integrated FARO Laser Line Probe capable of scanning to a resolution of 50um,75,1495462684,FARO ScanArm Platinum V2 ,3579
93,0,1495819350,,76,1495819350,Artec Space Spider,3673
94,0,1497384410,,77,1497384410,450kv microfocus X-ray CT scanning system,1089
95,0,1497758453,Micro CT scanner capable of 100 kV and 200 uA. Maximum resolution is about 5 um. Max scan volume is a cylinder 150 mm tall and 90 mm in diameter. Raw data are rendered with Shimadzu's software and output as .cb files which are 16-bit .tiff files.,78,1497759457,Shimadzu SMX-100CT,3889
96,0,1499265788,"Lens: Tamron AF 18–200 mm f/3.5–6.3 XR Di II LD Aspherical (IF) macro zoom lens (Model A14NII) 

3D software: Agisoft PhotoScan (http://www.agisoft.com/)",79,1499266263,Nikon D5300 DSLR camera,4128
97,0,1499997714,,80,1499997714,Creaform GO!SCAN 20,4183
98,0,1499997714,,80,1499997714,Creaform GO!SCAN 50,4183
99,0,1501349474,http://www.biotech.cornell.edu/sites/default/files/uploads/nano-CT FAQ.pdf,81,1501349474,Xradia Zeiss VersaXRM-520,4216
100,0,1501349474,http://www.biotech.cornell.edu/sites/default/files/uploads/micro CT FAQ.pdf,81,1501349474,GE eXplore CT-120,4216
101,0,1501528864,used for flat images (reference photos),56,1501528864,iPhone,22
102,0,1501689513,,82,1501865543,µCT100 Scanco Medical,4253
103,0,1503667180,225 kV micro-CT scanner,84,1503667186,Nikon XT H 225 ST,4346
104,0,1503667292,225 kV micro-CT scanner,85,1503667292,Nikon XT H 225 ST,4346
105,0,1503814463,"Large volume µCT scanner from RX Solutions (Chavanod France).
Resolution down to 4µm.
Maximum sample weight 30kg.
",86,1503814463,RX Solutions EasyTom,4333
106,0,1503814463,"Small volume µCT scanner from XRE (Ghent, Belgium).
Resolution down to 0.4µm.",86,1503814463,XRE UniTom,4333
107,0,1503966972,,87,1503966972,Siemens Inveon PET-CT scanner,3283
108,0,1504444812,225 kV micro-CT cabinet scanner,88,1504444815,Nikon XT H 225ST,4346
109,0,1504802837,nanotom-s nanoCT,89,1504802837,"Phoenix Datos | x2 Acquisition, version 2.3.2",4253
110,0,1505908661,,91,1505908661,Xradia Versa XRM-520 nano CT,4259
111,0,1505944994,Camera fitted with f/1.4 24 mm Nikkor lens,92,1505945037,Nikon D810,4522
112,0,1505944994,Camera fitted with f/1.4 24 mm Nikkor lens,92,1505945037,Nikon D800,4522
114,0,1509024818,,93,1509024907,FARO ScanArm Platinum V2 / FARO Laser Line Pr,3579
115,0,1510159476,"High speed acquisition to 0.6 mm resolution; Maximum weight 250 kg, bore diameter 78 cm.",94,1510159476,Siemens 128 slice CT,4764
116,0,1510159476,"Spatial resolution of 90nm, field of view 70 x 70 mm. Imaging bed dimensions are 20 cm in length with a diameter of 7 cm.",94,1510159476,Albira Si CT by Bruker,4764
117,0,1511013479,micro-CT scanner,96,1511013479,Nikon XT H 225 ST,4346
118,0,1511752795,,97,1569170543,Creaform Go!Scan20,986
119,0,1511752795,,97,1569170543,Creaform Go!Scan 50,986
120,0,1511996810,,98,1511996810,NSI Scanner,4623
121,0,1513014180,,99,1519052811,NextEngine Desktop 3D Scanner 2020i,4904
122,0,1513618476,,100,1513618476,Nikon XT H 225 ST,4931
123,0,1513843910,,102,1513843910,SOMATOM Definition AS+,4816
124,0,1515539580,,104,1515539580,TOSHIBA Activion16,4816
125,0,1518103865,,106,1518103865,SkyScan 1174,4189
126,0,1519052811,,99,1519052811,Artec Space Spider,4904
127,0,1519240229,,107,1523561035,Faro Design ScanArm,2862
128,0,1519275313,microCT scanner,108,1519275313,Siemens Inveon PET/CT scanner,5484
129,0,1519275483,Blue light surface scanner,109,1547183920,3D LMI HD109,5484
130,0,1519423175,,110,1519423175,X-tek HMXST 225,4842
131,0,1519423176,"The SkyScan 1173 is a high energy micro-CT scanner for large and dense objects with spiral scan possibility. It includes a newly developed 130kV microfocus X-ray source with improved stability of the focal spot position, a large format (>5Mp) flat panel sensor with special protection by a lead-glass fiber-optic window for achieving a long lifetime under high energy X-rays, and a precision object manipulator for large (up to 140mm in diameter, 200mm in length) and heavy (several kilograms) objects with an integrated micro-positioning stage.",111,1519423176,Bruker Skyscan 1173,2164
132,0,1519667470,"dual tubes: 240kV and 180kV, 2024x2024 detector",112,1519667470,phoenix v|tome|x s,5389
133,0,1519872643,,113,1519872643,Vtomex s,3817
134,0,1519872643,,113,1519872643,Nanotom s,3817
135,0,1519872643,,113,1519872643,Nanotom m,3817
136,0,1520090810,,114,1520090839,Siemens Somatom Emotion multislice scanner,300
137,0,1520940731,"The CT imaging capability of the Biograph 40 consists of a 40-slice CT featuring a full range of SPIRAL CT clinical applications with highest performance. Features include:

    Aperture: 70 cm; power supplied via low-voltage slipring.
    Rotational speed of the gantry: 162 rpm with a rotation time of 370 ms.
    Adaptive Array Detector (AAD) system based on UFCTM (Ultrafast Ceramics) with 26880 elements in 40 rows, 1344 channels per slice and up to 4640 projections per 360° rotation.
    Up to 40 images per rotation of below 0.6 mm isotropic resolution.
    STRATON tube high-performance X-ray system provide direct cooling of the anode with the ball bearings located outside the vacuum.  The direct anode cooling and the small and compact design of the anode plate (120 mm diameter) eliminates the need for heat storage capacity (0 MHU) and enables an unprecedented cooling rate of 5.0 MHU/min.  Therefore, cooling delays between multiple long range scans are eliminated, even for large patients.
    The STRATON X-ray tube utilizes an electron beam that is accurately and rapidly deflected, creating two precise focal spots alternating 4640 times per second.  This doubles the X-ray projections reaching each detector element.  The two overlapping projections result in an oversampling in z-direction, known as Double z-Sampling.  The resulting measurements interleave half a detector slice width, doubling the scan information without a corresponding increase in dose.  Siemens’ high-speed UFCTM detector enables a virtually simultaneous readout of two projections for each detector element – 2 x 20 slices for every viewing angle – resulting in a full 40-slice acquisition.
",115,1520940731,Siemens Biograph 40 TruePoint Tomograph,5213
138,0,1520967886,,116,1520967886,Nikon XT H 225 ST,5116
139,0,1522125655,DSLR camera with Nikon AF-S Nikkor 18-55 mm lens or Nikon AF-S Micro Nikkor 105mm macro lens,117,1522125688,Nikon D3300 ,309
140,0,1522280360,,119,1522280360,SIEMENS/SOMATOM Definition AS+,5274
141,0,1522291856,,120,1522291856,Beastcam mount,12
142,0,1522840721,"A compact desktop system for x-ray microscopy and microtomography designed by (Bruker (Billerica, Massachusetts, USA).
https://uahost.uantwerpen.be/mct/SKYSCAN/SKYSCAN_manuals/1072_manual.pdf",121,1529582795, Skyscan 1072 ,187
143,0,1522842713,"
http://www.ansto.gov.au/ResearchHub/OurInfrastructure/ACNS/Facilities/Instruments/Dingo/index.htm",122,1522842713,DINGO,187
144,0,1523477925,Dual tube system 180kV and 225kV. 2000 x 2000 detector,123,1523479907,Nikon XT H225ST,2164
145,0,1523903966,,124,1523903966,Skyscan 1172 microCT scanner,4902
146,0,1524481914,,125,1524481914,X-Tek HMX 160,5557
147,0,1527376937,,129,1527376937, Philips Brilliance 64,5648
148,0,1528813729,This surface scanner allows the acquisition of the 3D surface of the bone at high resolution using white light fringes (StereoSCAN3D model with a camera resolution of five megapixels).,132,1528814690,Breuckmann/EOTECH,348
149,0,1528863447,,133,1528863617,TOSHIBA/Activion16,5274
150,0,1528863447,,133,1528863617,TOSHIBA/Activion17,5274
151,0,1529581890,"An in vivo system for x-ray microscopy and microtomography designed by Bruker (Billerica, Massachusetts, USA) and souced from Belgium.
http://uahost.uantwerpen.be/mct/SKYSCAN/SKYSCAN_manuals/1076_manual.pdf",121,1529582795, Skyscan 1076 with modified camera,187
152,0,1529581974,"The SkyScan 1276 is a high performance, stand-alone, fast, desk-top in vivo micro-CT with continuously variable magnification for scanning small laboratory animals (e.g. mice, rats) and biological samples.
https://www.bruker.com/products/microtomography/in-vivo-micro/skyscan-1276/overview.html?gclid=CjwKCAjwma3ZBRBwEiwA-CsblJchGEPyu72tuNyaH4LJ0DRvcJlaQxtfnqw3OXDiAa5ny7iU8rvGbBoCUZYQAvD_BwE",121,1529582795,Skyscan 1276,187
153,0,1531248015,,135,1531248018,Nikon Metrology MCT 225 industrial µCT,77
154,0,1531851204,,136,1531851204,CT: GE Discover NM/CT 570c,12
155,0,1531851204,,136,1531851204,"Fluoroscope: Phillips, Allura Xper FD20",12
156,0,1532026919,"28 inch diameter, table max 550 pounds",137,1532026919,Siemens Definition AS 40Slice,4764
157,0,1532357452,Nikolai Tatarnic,138,1532357452, Zeiss XRadia Versa 520,2164
158,0,1532465492,,139,1532465492,Carl Zeiss MicroXCT-200,6234
159,0,1532703103,,140,1533917403,Geomagic 3D Capture,2287
160,0,1532703125,,140,1533917403,Next Engine 3D Scanner,2287
161,0,1533203066,,141,1533203066,"phoenix
v|tome|x s 240 (Research Edition)",5937
162,0,1533310517,,142,1533310517,GE Lightspeed Pro 16 CT scanner,6418
163,0,1533317643,,143,1533317643,SkyScan1173,6067
164,0,1533554616,,144,1533554616,Phoenix v|tome|x s 180/240,4346
165,0,1533754173,,145,1533754173,NIKON X TH 225 ST,3307
166,0,1534414054,,146,1534414054,Bruker Skyscan 2211,6474
167,0,1535254665,,148,1535254684,Next Engine 3D Laser Scanner,77
168,0,1535254775,,149,1535254775,Next Engine 3D Laser Scanner,77
169,0,1535919246,,150,1535919282,Nikon XT H225ST,4746
170,0,1535925066,,151,1535925066,Scanco Medical microCT,6234
171,0,1536177745,Portable intraoral scanner.,152,1536177745,Planmeca PlanScan,2250
172,0,1536242961,,153,1536242981,microCT scan Bruker Skyscan 1174,247
173,0,1536242961,,153,1536242981,Structured light surface scan Flexscan 3D,247
174,0,1536242961,,153,1536242981,Structured light surface Einscan-Pro,247
175,0,1536253579,Portable intraoral scanner,154,1536253579,Planmeca PlanScan,2250
176,0,1536449591,,155,1536449591,Artec Spider,3768
177,0,1537208278,,156,1537208286,Siemens Somatom Emotion 6-slice medical scann,5213
178,0,1539139357,https://xre.be/product/unitom/,157,1539139371,XRE / UniTOM,12
179,0,1540231072,,158,1540231122,North Star Imaging X5000,5041
180,0,1540379223,,159,1540379223,GE LightSpeed VCT 64-slice CT,147
181,0,1542039117,,160,1542039128,Bruker SkyScan 1173 micro-CT ,6525
182,0,1542230877,,163,1542230877,GE phoenix v|tome|x 240 L,1589
183,0,1542788510,https://www.wits.ac.za/microct/,164,1542788548,Nikon Metrology XTH 225/320 LC dual source ,168
184,0,1544468522,,166,1544468522,Toshiba Aquilion Prime,7292
185,0,1544469175,,167,1544469175,Siemens Somatom Definition,7292
186,0,1544582618,,168,1544582618,digital camera,12
187,0,1544646922,In-vivo micro-CT ,169,1544646922,Bruker Skyscan 1176,5213
188,0,1545207972,,170,1545209115,X-ray Micro-CT Scanner,7325
189,0,1546531407,Laser Scanner,171,1546531419,NextEngine 2020,960
190,0,1546531407,Structured light scanner,171,1546531419,Go!Scan 50,960
191,0,1547004413,Serial Number  018,172,1559005458,Skyscan1174,3283
192,0,1547183894,Skyscan micro-CT scanner that used to be available to the lab; the machine is now defunct,109,1547183920,Skyscan 1174,5484
193,0,1547979941,Synchrotron beamline,173,1547979941,Beamline ID19,4346
194,0,1547981799,,174,1547981799,ZEISS Xradia 520 Versa 3D X-Ray microscope,4346
195,0,1548365332,Diagnostic (hospital) CT scanner,175,1559566720,Toshiba Aquilion 64 CT Scanner ,2511
196,0,1550860449,,179,1550860449,NSI X5000,6117
197,0,1551224311,Portable 3D laser scanner,180,1551224316,Konika Minolta Vivid 9i ,5213
198,0,1551795503,,181,1551795503,Nano-CT GE v/tome/x m240,2419
199,0,1552664943,,183,1552665209,Phoenix v|tome|x s (GE Measurement & Control),12
200,0,1552916741,,184,1552916741,medical Philips Brilliance 64 CT,2753
201,0,1552918384,,185,1552918384,Y.TU450-D11 x-ray tube ,2753
202,0,1553179459,Diagnostic (hospital) CT scanner,175,1559566720,GE HiSpeed Fx-i Helical CT Scanner,7527
203,0,1555391131,high-resolution μCT-scanner,186,1555391131,Skyscan 1076,8086
204,0,1555391132,high-resolution μCT-scanner,186,1555391132,Skyscan 1276,8086
205,0,1555542018,"PicoScan white light scanner from 4D Dynamics, Antwerp, Belgium",187,1555542018,PicoScan,52
206,0,1556803624,,188,1556803631,EasyTom HR-microtomograph,176
207,0,1557140944,,189,1557141660,"GE, phoenix x-ray nanotom m",8291
208,0,1557438812,,190,1557438812,Zeiss Xradia XRM520,1861
209,0,1557502792,3D Surface Scanner,191,1569511370,EinScan Pro+,6807
210,0,1557502792,3D Surface Scanner,191,1569511370,EinScan Pro 2X,6807
211,0,1557502792,3D Surface Scanner,191,1569511370,Next Engine,6807
212,0,1557775891,GW VTOMEX CT Scanner,193,1557775943,240 CT Scanner,6807
213,0,1558132026,,195,1558132026,Nikon XT H 225 ST,8324
214,0,1558356282,,196,1558356282,Philips iCT256,2164
215,0,1558712172,"Resolution up to 5 µm/voxel, or matrix sizes of up to 5700 px, max. acceleration voltage of 225 kV, max. object size: 500mm in diameter, 800mm in height ",197,1558712172,Diondo d3 high-resolution micro-CT system,5213
216,0,1559004682,"(NextEngine Inc., California, United States)",172,1559005458,NextEngine Desktop 3D Laser Scanner,3283
217,0,1559005435,"(LMI Technology, Inc., Vancouver, Canada)",172,1559005458,HDI109 Blue Light Surface 3D Scanner,3283
218,0,1559182952,Diagnostic (hospital) CT scanner,175,1559566720,GE LightSpeed Ultra 64 Multislice CT scanner,2511
219,0,1559183095,,23,1559183095,GE eXplore CT 120 in vivo,2511
220,0,1562937359,,200,1562937359,Artec Spider,8510
221,0,1562937359,,200,1562937359,Artec Eva,8510
223,0,1563366114,"The Xradia versa XRM500 is a CT tomography machine. Its mecanism consists of Xrays that generates voltage from 30 to 160kv, used to image samples and create reference images and includes an X ray source filter holder. Detector assembly that picks up Xray images of the samples.

Key Features:

Sample Stage: Platform upon which sample mounted on a sample holder, is secured and positioned for microscopy.

Detector Assembly: It has one macro lens and a turret

• Macro lens(i.e.0.39X)is a lower magnification lens used for FOV 
• Turret consits of : 1x,4x,20x and 40x

Scount and control System: Software used for mounting and scanning the images

Reconstruction Software: It consits of XRM3Dviewer, XM reconstructor, XM controller

Avizo: It is a 3D data visualization, analysis and modelling system. It allows you to explore and analyze data sets from various area:

• Scientific Visualization 
• Material Sciences 
• Computer Aided Engineering, Computational Filed Dynamics, Numerical Solution 
• Climate, Oceanography, Environment Etc.., ",202,1563366138,Xradia versa XRM500,2164
224,0,1564215338,,203,1564215338,Synchrotron X-ray microtomography,6327
225,0,1565673930,blue light surface scanner,204,1565673930,"GoMeasure 3D’s HDI109 (LMI Technologies Inc.,",8582
226,0,1567632144,"Maximum tube voltage (kV) 160
X-ray tube setting range (kV) 20-160
Minimum resolution (micron) 0.8
X-ray output window material Diamond
Maximum target current (mA) 100",205,1567632149,Custom system with Hamamatsu L10711-19 source,8957
227,0,1567768927,,206,1567768954,microCT station Scanco mCT 40 (Scanco Medical,187
228,0,1568125828,Artec Spider structured light scanner,207,1568125828,Artec Spider,4346
229,0,1568202794,,208,1568202794,hutch 3B,187
230,0,1568291398,operated using xs control and Phoenix datos|x acquisition software (both GE Sensing & Inspection Technologies),209,1568291401,Phoenix Nanotom m (GE Sensing & Inspection Te,187
231,0,1568311446,Hand-held 3D scanner; connects to Windows computer loaded with VXElements for rendering scans,210,1568311516,Creaform GoScan 50,342
232,0,1568311516,DSLR camera used to take photographs for photogrammetry,210,1568311516,Canon T6s,342
233,0,1569170483,,97,1569170543,NextEngine with ScanStudio PRO,986
234,0,1569170483,,97,1569170543,"FARO Laser Line Probe with FARO® Edge, 6 ft (",986
235,0,1569511370,3D Structured Light Scanner,191,1569511370,GeoMagic Capture,6807
236,0,1571939472,,212,1571939472,Skyscan 1172,8982
237,0,1573089910,,213,1573089910,Artec Space Spider,103
238,0,1573089910,,213,1573089910,NextEngine 3D Laser Scanner,103
